"X1.simulation.time","X1.simulation.CL","X1.simulation.CK","X1.simulation.CBr","X1.simulation.CS","X1.simulation.Clu","X1.conf_intervals.time","X1.conf_intervals.CL_mean","X1.conf_intervals.CL_lower","X1.conf_intervals.CL_upper"
296,0.00446061093821967,7.69614540409992e-06,1.50423532238501e-05,0.00111963988032522,9.84297828586348e-05,296,0.00445682240862585,0.00438578400837547,0.00451722941758954
297,0.00446119329446781,7.6448443469729e-06,1.51324242901456e-05,0.00111984156541736,9.83712490069249e-05,297,0.00445748672090861,0.00438641887596217,0.00451801895312932
298,0.00446177565071595,7.59354328984588e-06,1.52224953564411e-05,0.0011200432505095,9.8312715155215e-05,298,0.00445814790818052,0.00438706000114886,0.00451880794411775
299,0.00446235800696409,7.54224223271886e-06,1.53125664227366e-05,0.00112024493560164,9.82541813035051e-05,299,0.00445873990994146,0.00438770112633556,0.00451913520032002
300,0.00446294036321223,7.49094117559185e-06,1.5402637489032e-05,0.00112044662069378,9.81956474517952e-05,300,0.00445912343441359,0.0043883304185011,0.00451920167749205
301,0.00446300690126178,7.48507985839329e-06,1.54995519157434e-05,0.00112046966470887,9.81889598219722e-05,301,0.00445926269966591,0.00438843106743566,0.00451926305221005
302,0.00446304636345555,7.48160372234724e-06,1.55968255578533e-05,0.00112048333166039,9.81849936564769e-05,302,0.00445931823623704,0.00438847672003055,0.00451932062514237
303,0.00446308582564931,7.4781275863012e-06,1.56940991999631e-05,0.00112049699861191,9.81810274909816e-05,303,0.00445936632784622,0.00438852237262544,0.00451937819807469
304,0.00446312528784308,7.47465145025516e-06,1.57913728420729e-05,0.00112051066556342,9.81770613254862e-05,304,0.00445941411676765,0.00438856802522032,0.00451943577100701
305,0.00446316475003685,7.47117531420912e-06,1.58886464841828e-05,0.00112052433251494,9.81730951599909e-05,305,0.00445946065160294,0.00438861367781521,0.00451949334393933
306,0.00446320421223062,7.46769917816308e-06,1.59859201262926e-05,0.00112053799946646,9.81691289944956e-05,306,0.00445950151312264,0.00438865933041009,0.00451950101571106
307,0.00446324367442438,7.46422304211704e-06,1.60831937684024e-05,0.00112055166641797,9.81651628290003e-05,307,0.00445953294162995,0.00438870454169826,0.00451950198747693
308,0.00446328077491823,7.46095495810027e-06,1.61803774544341e-05,0.00112056451545469,9.81614340497022e-05,308,0.00445955172368725,0.00438874616140252,0.0045195029592428
309,0.00446328106245275,7.46092988172102e-06,1.62761589515541e-05,0.00112056461525767,9.81614055239095e-05,309,0.0044595596728195,0.00438874650649558,0.00451950380443429
310,0.00446328134998727,7.46090480534177e-06,1.63719404486741e-05,0.00112056471506065,9.81613769981168e-05,310,0.00445956197095961,0.00438874685158864,0.00451950425018751
311,0.00446328163752179,7.46087972896253e-06,1.6467721945794e-05,0.00112056481486363,9.81613484723241e-05,311,0.00445956273466583,0.0043887471966817,0.00451950469594074
312,0.00482691828869268,7.46085465258328e-06,1.6563503442914e-05,0.00112056491466661,9.81613199465314e-05,312,0.00482319956409945,0.00475238390541113,0.00488314150533033
313,0.00473793057475346,1.40874730179747e-05,1.76037838775178e-05,0.00118296990436046,0.000112618083400889,313,0.00473359370433728,0.00464904597360375,0.00480877920641513
